created_at,text,screen_name,followers,friends,rt,fav
Sun May 02 01:44:49 +0000 2021,"b'As Epic v. Apple approaches the courtroom, Valve is getting sued over Steam too - https://t.co/wuLR5cgWVs https://t.co/5FKRTH9USL'",Wazupnaija,775,40,0,0
Sun May 02 01:44:52 +0000 2021,b'Palantir Rising: War In The Garden Of Google (NASDAQ:GOOG) | Seeking Alpha https://t.co/atqFTJVkNz',selvestekjetil,1793,2057,0,0
